Date,Close,Symbol
,AAPL,
2024-12-19,249.1888885498047,AAPL
2024-12-20,253.87759399414062,AAPL
2024-12-23,254.6557159423828,AAPL
2024-12-24,257.57867431640625,AAPL
2024-12-26,258.39666748046875,AAPL
2024-12-27,254.9749298095703,AAPL
2024-12-30,251.5930938720703,AAPL
2024-12-31,249.8173828125,AAPL
2025-01-02,243.26319885253906,AAPL
2025-01-03,242.7743682861328,AAPL
2025-01-06,244.41041564941406,AAPL
2025-01-07,241.62713623046875,AAPL
2025-01-08,242.11593627929688,AAPL
2025-01-10,236.280029296875,AAPL
2025-01-13,233.83592224121094,AAPL
2025-01-14,232.71861267089844,AAPL
2025-01-15,237.2975616455078,AAPL
2025-01-16,227.710693359375,AAPL
2025-01-17,229.4265594482422,AAPL
2025-01-21,222.10421752929688,AAPL
2025-01-22,223.29135131835938,AAPL
2025-01-23,223.1217803955078,AAPL
2025-01-24,222.24388122558594,AAPL
2025-01-27,229.3068389892578,AAPL
2025-01-28,237.68663024902344,AAPL
2025-01-29,238.78399658203125,AAPL
2025-01-30,237.0182342529297,AAPL
2025-01-31,235.4320831298828,AAPL
2025-02-03,227.4613037109375,AAPL
2025-02-04,232.23977661132812,AAPL
2025-02-05,231.9105682373047,AAPL
2025-02-06,232.6587677001953,AAPL
2025-02-07,227.08221435546875,AAPL
2025-02-10,227.3518524169922,AAPL
2025-02-11,232.3153533935547,AAPL
2025-02-12,236.55978393554688,AAPL
2025-02-13,241.21368408203125,AAPL
2025-02-14,244.2796630859375,AAPL
2025-02-18,244.14984130859375,AAPL
2025-02-19,244.54930114746094,AAPL
2025-02-20,245.508056640625,AAPL
2025-02-21,245.22842407226562,AAPL
2025-02-24,246.77639770507812,AAPL
2025-02-25,246.71646118164062,AAPL
2025-02-26,240.0452117919922,AAPL
2025-02-27,236.98922729492188,AAPL
2025-02-28,241.5232696533203,AAPL
2025-03-03,237.71826171875,AAPL
2025-03-04,235.6210174560547,AAPL
2025-03-05,235.4312744140625,AAPL
2025-03-06,235.0218048095703,AAPL
2025-03-07,238.7569122314453,AAPL
2025-03-10,227.1820831298828,AAPL
2025-03-11,220.55078125,AAPL
2025-03-12,216.69583129882812,AAPL
2025-03-13,209.4053955078125,AAPL
2025-03-14,213.21041870117188,AAPL
2025-03-17,213.71974182128906,AAPL
2025-03-18,212.4114532470703,AAPL
2025-03-19,214.95811462402344,AAPL
2025-03-20,213.81961059570312,AAPL
2025-03-21,217.98414611816406,AAPL
2025-03-24,220.44091796875,AAPL
2025-03-25,223.45697021484375,AAPL
2025-03-26,221.2398681640625,AAPL
2025-03-27,223.5568389892578,AAPL
2025-03-28,217.6146240234375,AAPL
2025-03-31,221.83909606933594,AAPL
2025-04-01,222.897705078125,AAPL
2025-04-02,223.59678649902344,AAPL
2025-04-03,202.9239044189453,AAPL
2025-04-04,188.13330078125,AAPL
2025-04-07,181.2223663330078,AAPL
2025-04-08,172.19419860839844,AAPL
2025-04-09,198.58958435058594,AAPL
2025-04-10,190.17062377929688,AAPL
2025-04-11,197.89048767089844,AAPL
2025-04-14,202.25477600097656,AAPL
2025-04-15,201.87527465820312,AAPL
2025-04-16,194.0155792236328,AAPL
2025-04-17,196.72203063964844,AAPL
2025-04-21,192.9070281982422,AAPL
2025-04-22,199.47842407226562,AAPL
2025-04-23,204.33206176757812,AAPL
2025-04-24,208.09710693359375,AAPL
2025-04-25,209.00592041015625,AAPL
2025-04-28,209.8647918701172,AAPL
2025-04-29,210.9333953857422,AAPL
2025-04-30,212.22171020507812,AAPL
2025-05-01,213.04063415527344,AAPL
2025-05-02,205.08106994628906,AAPL
2025-05-05,198.62953186035156,AAPL
2025-05-06,198.25001525878906,AAPL
2025-05-07,195.99298095703125,AAPL
2025-05-08,197.2313690185547,AAPL
2025-05-09,198.27000427246094,AAPL
2025-05-12,210.7899932861328,AAPL
2025-05-13,212.92999267578125,AAPL
2025-05-14,212.3300018310547,AAPL
2025-05-15,211.4499969482422,AAPL
2025-05-16,211.25999450683594,AAPL
2025-05-19,208.77999877929688,AAPL
2025-05-20,206.86000061035156,AAPL
2025-05-21,202.08999633789062,AAPL
2025-05-22,201.36000061035156,AAPL
2025-05-23,195.27000427246094,AAPL
2025-05-27,200.2100067138672,AAPL
2025-05-28,200.4199981689453,AAPL
2025-05-29,199.9499969482422,AAPL
2025-05-30,200.85000610351562,AAPL
2025-06-02,201.6999969482422,AAPL
2025-06-03,203.27000427246094,AAPL
2025-06-04,202.82000732421875,AAPL
2025-06-05,200.6300048828125,AAPL
2025-06-06,203.9199981689453,AAPL
2025-06-09,201.4499969482422,AAPL
2025-06-10,202.6699981689453,AAPL
2025-06-11,198.77999877929688,AAPL
2025-06-12,199.1999969482422,AAPL
2025-06-13,196.4499969482422,AAPL
2025-06-16,198.4199981689453,AAPL
